game_idx,game_length,positions_analyzed,avg_illegal_prob,max_illegal_prob,failure_count,failure_rate
543,60,56,0.0016235772930858622,0.020879392755494594,0,0.0
544,60,56,0.015219749165108331,0.6165871195452124,2,0.03571428571428571
545,60,56,0.0010396152054023733,0.0064832133481348125,0,0.0
546,60,56,0.003623062952673953,0.04838978771053446,0,0.0
547,60,56,0.005505798129187523,0.10266101347702297,1,0.017857142857142856
548,60,56,0.0054678457000097705,0.08960359947711893,2,0.03571428571428571
549,60,56,0.002976730288105672,0.028752178173545917,0,0.0
550,58,54,0.00253229646985284,0.033016907709347336,0,0.0
551,60,56,0.0030485535954419803,0.0385705904279805,0,0.0
552,60,56,0.0044984864742593595,0.07922761187233673,1,0.017857142857142856
553,60,56,0.006731976832001053,0.05736112710880769,1,0.017857142857142856
554,60,56,0.002227878193535981,0.034852793031277675,0,0.0
555,60,56,0.010673672902211983,0.24395179880748508,3,0.05357142857142857
556,60,56,0.00368282199697693,0.050454291506302214,1,0.017857142857142856
557,60,56,0.0036689462472029094,0.0888776013626693,1,0.017857142857142856
558,60,56,0.006866437609244254,0.14620037332486197,1,0.017857142857142856
559,60,56,0.0030544398527928415,0.0228274927742749,0,0.0
560,60,56,0.0027830528083994067,0.04961629365544306,0,0.0
561,60,56,0.003640377298592245,0.02651729305568651,0,0.0
562,60,56,0.0024487023439013884,0.03417920776778683,0,0.0
563,60,56,0.006123356453477988,0.0726648252499359,3,0.05357142857142857
564,60,56,0.004527772219668195,0.11616940859425297,1,0.017857142857142856
565,60,56,0.004361850679348571,0.05012498686553259,1,0.017857142857142856
566,60,56,0.005399663735483648,0.09496743541517139,2,0.03571428571428571
567,60,56,0.0047758487264176605,0.05605731082230582,1,0.017857142857142856
568,60,56,0.0031683111104671914,0.08298177778258067,1,0.017857142857142856
569,60,56,0.005175723895816035,0.0436810422425765,0,0.0
570,60,56,0.001378281354368535,0.010302917767334935,0,0.0
571,60,56,0.0019107295833873988,0.029372548087564166,0,0.0
572,60,56,0.006476567632795597,0.15744781273928316,1,0.017857142857142856
573,60,56,0.0027476966272677685,0.025664358980663403,0,0.0
574,60,56,0.010621583903227792,0.233057021837539,4,0.07142857142857142
575,58,54,0.006759793266313073,0.05415160930156092,2,0.037037037037037035
576,60,56,0.008152472843120965,0.22409048366347406,1,0.017857142857142856
577,60,56,0.00387296865217714,0.09465696502704753,1,0.017857142857142856
578,60,56,0.005463693351477707,0.10431830932137931,1,0.017857142857142856
579,60,56,0.0028390655250270748,0.06219152820962165,1,0.017857142857142856
580,60,56,0.0029809397823815234,0.036529243264170716,0,0.0
581,60,56,0.0054046954753542474,0.07196888918971693,2,0.03571428571428571
582,60,56,0.004600086471686372,0.07431051138047237,2,0.03571428571428571
583,60,56,0.003612796485497922,0.08758228495094049,1,0.017857142857142856
584,60,56,0.005239977762849653,0.06359897327411843,1,0.017857142857142856
585,60,56,0.009988686799324992,0.2717789573780307,3,0.05357142857142857
586,60,56,0.0071247729006734956,0.1677173021048115,2,0.03571428571428571
587,60,56,0.005874513728894096,0.17297508875886092,1,0.017857142857142856
588,60,56,0.004362127659170239,0.06158143504947538,1,0.017857142857142856
589,60,56,0.006887331493269327,0.16298133370996215,2,0.03571428571428571
590,60,56,0.0018308925129169903,0.018473128368069348,0,0.0
591,60,56,0.0024154178274975982,0.025157738604619617,0,0.0
592,60,56,0.004329292670737723,0.06542158606456268,1,0.017857142857142856
593,60,56,0.0012362442119861045,0.008244855893788523,0,0.0
594,60,56,0.0048996821313029276,0.05615557924196186,1,0.017857142857142856
595,60,56,0.006097623756942206,0.1466413385984161,2,0.03571428571428571
596,60,56,0.004865860245885113,0.11949970892213119,1,0.017857142857142856
597,60,56,0.0019107354514670747,0.01721472348961739,0,0.0
598,60,56,0.006962434069204865,0.23277749482430293,1,0.017857142857142856
599,60,56,0.0029026856804878595,0.04647592090082104,0,0.0
600,60,56,0.006681527323084099,0.16174570914166247,2,0.03571428571428571
601,60,56,0.001976325965234329,0.021552159917515367,0,0.0
602,60,56,0.004674498023801634,0.043756564634390156,0,0.0
603,60,56,0.005353744640861947,0.07574044488500745,1,0.017857142857142856
604,60,56,0.0063745770559290645,0.08569401853123565,3,0.05357142857142857
605,60,56,0.003367026691001847,0.03237661758488518,0,0.0
606,60,56,0.0037076605929872446,0.03416032126155266,0,0.0
607,60,56,0.001915731858412175,0.01910123478324388,0,0.0
608,60,56,0.005506313812479973,0.1110023166783136,2,0.03571428571428571
609,60,56,0.008794818226679157,0.13706485717335615,2,0.03571428571428571
610,60,56,0.005430732840735315,0.11737861340222355,2,0.03571428571428571
611,60,56,0.004825065382074681,0.11047315596588642,1,0.017857142857142856
612,60,56,0.006118371792988872,0.0739135460602385,1,0.017857142857142856
613,60,56,0.002677009975183235,0.0300166722094648,0,0.0
614,60,56,0.002211762719965358,0.04691883806961403,0,0.0
615,60,56,0.010729280646843642,0.2494797087049089,3,0.05357142857142857
616,60,56,0.0059922802729238805,0.16105205361377498,1,0.017857142857142856
617,60,56,0.00409845287462691,0.03953648985510353,0,0.0
618,60,56,0.003141158201086324,0.08362044425394623,1,0.017857142857142856
619,60,56,0.00531282431837331,0.11006459278957936,1,0.017857142857142856
620,60,56,0.002429473514357569,0.03114428325556181,0,0.0
621,60,56,0.00525144284850241,0.07735507861238353,1,0.017857142857142856
622,60,56,0.00378152022098232,0.028961277732799114,0,0.0
623,60,56,0.004055602917637034,0.06187771868849729,1,0.017857142857142856
624,60,56,0.017460506461250448,0.24154006135505446,5,0.08928571428571429
625,60,56,0.008239264621865283,0.06031952138013508,2,0.03571428571428571
626,60,56,0.00832323619221636,0.14551965397798627,2,0.03571428571428571
627,60,56,0.004329794686608436,0.03827635613212643,0,0.0
628,60,56,0.007763392174634875,0.08385985660615392,3,0.05357142857142857
629,60,56,0.0067141384757408535,0.11681594243426296,1,0.017857142857142856
630,60,56,0.007073496493378446,0.15271354638157908,2,0.03571428571428571
631,60,56,0.006592117796041532,0.09364511347911472,2,0.03571428571428571
632,60,56,0.0036416717675887074,0.061599591909716866,1,0.017857142857142856
633,60,56,0.001575272588955902,0.013283344216954873,0,0.0
634,60,56,0.0048550895102049485,0.0748020383748057,2,0.03571428571428571
635,60,56,0.00829482299715001,0.13809137598834553,4,0.07142857142857142
636,60,56,0.007599769639119909,0.17935067509984004,2,0.03571428571428571
637,60,56,0.0044558344523347405,0.04819117620310069,0,0.0
638,60,56,0.0012917382351328274,0.012655461696661385,0,0.0
639,60,56,0.004357060927209703,0.04216214899608263,0,0.0
640,60,56,0.005374279716118418,0.060651664401814395,1,0.017857142857142856
641,60,56,0.005439052927054584,0.16252287251552958,1,0.017857142857142856
642,60,56,0.004065010366492234,0.027050859846062703,0,0.0
643,50,46,0.011323643827511175,0.23107612124012084,3,0.06521739130434782
644,60,56,0.004027538832726161,0.04810443991768887,0,0.0
645,60,56,0.003268706567471551,0.035703052616210436,0,0.0
646,60,56,0.003690116468027242,0.04532705642314323,0,0.0
647,60,56,0.0015831664363308137,0.018996557563748517,0,0.0
648,60,56,0.006292582127776831,0.11633694746596313,2,0.03571428571428571
649,60,56,0.0018953339702542868,0.015693496231377467,0,0.0
650,60,56,0.007315840586564632,0.1930741104542723,2,0.03571428571428571
651,60,56,0.008503887675588304,0.14488619388177665,3,0.05357142857142857
652,60,56,0.006965952726361266,0.092192230277885,2,0.03571428571428571
653,60,56,0.005780222488946849,0.10267524562330846,2,0.03571428571428571
654,60,56,0.00402524147561895,0.1314545972570592,1,0.017857142857142856
655,60,56,0.0018849128412986727,0.03153648114319818,0,0.0
656,60,56,0.00613765761084763,0.08571162686603942,2,0.03571428571428571
657,60,56,0.00511082103492549,0.084665095513038,1,0.017857142857142856
658,58,54,0.007582105262756643,0.15726745290987257,2,0.037037037037037035
659,60,56,0.0074027919328935,0.1409946587883842,3,0.05357142857142857
660,60,56,0.009092782191578292,0.14240182033885798,3,0.05357142857142857
661,60,56,0.002498529436645933,0.06359878594487643,1,0.017857142857142856
662,60,56,0.004587083827243664,0.06260979753201387,1,0.017857142857142856
663,60,56,0.0029462428845299935,0.0230004797268688,0,0.0
664,60,56,0.003292176645136934,0.04169573416057005,0,0.0
665,60,56,0.003967853722463503,0.07375081214637245,1,0.017857142857142856
666,60,56,0.0034981784659266035,0.039547866399473476,0,0.0
667,60,56,0.0036260505456640045,0.06772211098713261,2,0.03571428571428571
668,60,56,0.0038639095227791177,0.08344677409965598,1,0.017857142857142856
669,56,52,0.003332557400675974,0.025745353150953915,0,0.0
670,60,56,0.0033660359012640867,0.07325323924802667,1,0.017857142857142856
671,58,54,0.004176609341840882,0.11986624699101422,1,0.018518518518518517
672,60,56,0.00605583923064273,0.1559257577352843,2,0.03571428571428571
673,60,56,0.0023996867429431,0.02151665174850592,0,0.0
674,60,56,0.010981422880637717,0.3719115147647739,3,0.05357142857142857
675,60,56,0.006720332990875409,0.11741083500718963,2,0.03571428571428571
676,60,56,0.00843337000383084,0.1581203086293231,2,0.03571428571428571
677,60,56,0.0025004437472205296,0.04774163496006118,0,0.0
678,60,56,0.00357574069247623,0.0834985643006105,1,0.017857142857142856
679,60,56,0.004667768653813415,0.04595109551026135,0,0.0
680,60,56,0.004064111839783343,0.04416962885999016,0,0.0
681,60,56,0.0015352922189293746,0.021704782885289875,0,0.0
682,58,54,0.022221733658277,0.6333197308267722,4,0.07407407407407407
683,60,56,0.0034642661113980988,0.04632491670927157,0,0.0
684,60,56,0.00670272575992164,0.11624702422538691,2,0.03571428571428571
685,60,56,0.0034259350677939065,0.042195823047101934,0,0.0
686,60,56,0.007644684402290626,0.10208852296349098,3,0.05357142857142857
687,60,56,0.0036998537448298774,0.03139160408317336,0,0.0
688,60,56,0.007745438643772734,0.10860382832905674,3,0.05357142857142857
689,60,56,0.0053772956326293584,0.1367974528454278,1,0.017857142857142856
690,60,56,0.009132133910491119,0.1261987391526222,4,0.07142857142857142
691,60,56,0.0034856425965260015,0.07910623244075969,1,0.017857142857142856
692,60,56,0.010997472309441517,0.3161895352589017,4,0.07142857142857142
693,60,56,0.002938086370574518,0.03284902355371884,0,0.0
694,60,56,0.0020667160563286463,0.026397142522026837,0,0.0
695,60,56,0.003013958294274349,0.07890834566258619,1,0.017857142857142856
696,60,56,0.006373561092915705,0.22158655118626458,2,0.03571428571428571
697,60,56,0.004252009753834419,0.07631506259614503,1,0.017857142857142856
698,60,56,0.0034956954859197615,0.04247216033649612,0,0.0
699,60,56,0.0043261449175414956,0.03805222365145333,0,0.0
700,60,56,0.002951675260201137,0.03478979223117423,0,0.0
701,60,56,0.006952830120836974,0.19728668319560294,1,0.017857142857142856
702,60,56,0.0025826004933576833,0.036813710863434504,0,0.0
703,60,56,0.005537782962451722,0.09964760458622024,2,0.03571428571428571
704,60,56,0.002795325414264016,0.039187215339076355,0,0.0
705,60,56,0.0035937276237055014,0.07579094784537288,1,0.017857142857142856
706,60,56,0.0036483708137090664,0.055990553540705944,1,0.017857142857142856
707,60,56,0.004634275347248048,0.07426041784572744,1,0.017857142857142856
708,60,56,0.00356367639558204,0.04233231755334427,0,0.0
709,60,56,0.004377997706235379,0.039517868168566825,0,0.0
710,60,56,0.005701483661426232,0.1321321283249723,1,0.017857142857142856
711,60,56,0.0008015736605019193,0.008512821567008855,0,0.0
712,60,56,0.005800707431036021,0.20637694397341155,1,0.017857142857142856
713,60,56,0.002793195248274522,0.03868544208436429,0,0.0
714,60,56,0.007502176267256684,0.32390806810749323,1,0.017857142857142856
715,60,56,0.003623835427177899,0.07040571050729127,1,0.017857142857142856
716,60,56,0.002160638289953929,0.02049275606424944,0,0.0
717,60,56,0.003230154436150018,0.04771423553972569,0,0.0
718,60,56,0.00827337254602985,0.09674931777070217,4,0.07142857142857142
719,60,56,0.013829594256918534,0.19499674770198538,4,0.07142857142857142
720,60,56,0.0037667897159132627,0.03777157926082397,0,0.0
721,60,56,0.005664199985769629,0.17473682610545158,1,0.017857142857142856
722,60,56,0.0033990537510733567,0.020737558389186915,0,0.0
723,60,56,0.0015312627844762735,0.01824701157306996,0,0.0
724,60,56,0.01691475799595433,0.2102731480345883,7,0.125
725,60,56,0.002089980693801794,0.028358879590318384,0,0.0
726,60,56,0.006143471277997163,0.0796069833218653,2,0.03571428571428571
727,60,56,0.001287967878865252,0.012976437768999377,0,0.0
728,60,56,0.003027967010466173,0.03403409430239601,0,0.0
729,60,56,0.0032852901015014225,0.029195100354804153,0,0.0
730,60,56,0.004069715454553194,0.08154862446162234,1,0.017857142857142856
731,60,56,0.005755898631160587,0.11297214658303309,2,0.03571428571428571
732,60,56,0.004331481137299762,0.0660496925535789,1,0.017857142857142856
733,58,54,0.006195956379413599,0.0826429328569296,2,0.037037037037037035
734,60,56,0.0064580975923594465,0.09192447086953644,2,0.03571428571428571
735,60,56,0.004065086139001197,0.0973851093621328,1,0.017857142857142856
736,60,56,0.006370415872589598,0.2026820923532571,1,0.017857142857142856
737,60,56,0.007666434793805415,0.046897911574143886,0,0.0
738,60,56,0.005271335315412876,0.07100251213893631,1,0.017857142857142856
739,60,56,0.0038949344644599545,0.02903093409705715,0,0.0
740,60,56,0.0029504814139985507,0.04189273287084506,0,0.0
741,60,56,0.003395682034602406,0.05030699955191496,1,0.017857142857142856
742,60,56,0.0036387405998200826,0.03199666779969411,0,0.0
743,60,56,0.0051364412728502696,0.03456631655249229,0,0.0
744,60,56,0.0016273884741962897,0.012470428905252113,0,0.0
745,60,56,0.003055214308061529,0.03978216858114606,0,0.0
746,60,56,0.00413340667283283,0.11915371333938425,1,0.017857142857142856
747,60,56,0.0027037591574769807,0.060000204877669945,1,0.017857142857142856
748,60,56,0.003909915057193453,0.09142368429324157,1,0.017857142857142856
749,60,56,0.0034518380875527754,0.07515197323629412,1,0.017857142857142856
750,60,56,0.005578039663812153,0.08837474050667712,2,0.03571428571428571
751,60,56,0.0035670591332956554,0.05648062401926115,1,0.017857142857142856
752,60,56,0.007598298107709329,0.16452790612882495,3,0.05357142857142857
753,60,56,0.012421373471040493,0.13642019175621473,6,0.10714285714285714
754,60,56,0.0038837050532656387,0.0487784654391763,0,0.0
755,60,56,0.008282032998990486,0.3132010537663574,1,0.017857142857142856
756,60,56,0.0024131956141150656,0.024883060023030486,0,0.0
757,60,56,0.0007089674221552199,0.003721232568319799,0,0.0
758,60,56,0.004433419989088879,0.059759636507890825,1,0.017857142857142856
759,60,56,0.003926674661408838,0.08870186540979841,1,0.017857142857142856
760,60,56,0.0073361143262683495,0.10107178088306763,2,0.03571428571428571
761,60,56,0.0058314738587316225,0.07814402659276418,2,0.03571428571428571
762,60,56,0.00427342778981,0.07643615241165784,1,0.017857142857142856
763,60,56,0.003931996398348016,0.050660555639679646,1,0.017857142857142856
764,60,56,0.0059546379132358,0.06315512489871733,2,0.03571428571428571
765,60,56,0.0033043488775270605,0.056378288282363895,1,0.017857142857142856
766,60,56,0.007180089227845741,0.19659409596096666,1,0.017857142857142856
767,60,56,0.00763525117616877,0.09761024075545555,3,0.05357142857142857
768,60,56,0.006418778529434622,0.1515099313317988,2,0.03571428571428571
769,58,54,0.003153360630400751,0.028354242678583105,0,0.0
770,60,56,0.010023557912403211,0.27586132998899865,3,0.05357142857142857
771,60,56,0.002414836871610445,0.017866475650714128,0,0.0
772,60,56,0.005034981294529484,0.0376776069178306,0,0.0
773,60,56,0.0037761769924116806,0.08083543748163913,1,0.017857142857142856
774,60,56,0.005884792162787922,0.07127260131317414,1,0.017857142857142856
775,60,56,0.007991679524290893,0.09355326699110879,3,0.05357142857142857
776,60,56,0.0025563236231014265,0.03813305310359265,0,0.0
777,60,56,0.0030145084182373644,0.04605393294723882,0,0.0
778,60,56,0.002629795344669001,0.04933215907223529,0,0.0
779,60,56,0.007512553490789769,0.14333492944754117,2,0.03571428571428571
780,60,56,0.004731862746006686,0.05048061030702941,1,0.017857142857142856
